Date,S&P 500 GTR,S&P 500 Price
31/12/89,379.41,353.40
31/01/90,353.94,329.08
28/02/90,358.50,331.89
31/03/90,368.00,339.94
30/04/90,358.82,330.80
31/05/90,393.80,361.23
30/06/90,391.14,358.02
31/07/90,389.89,356.15
31/08/90,354.65,322.56
30/09/90,337.39,306.05
31/10/90,335.95,304.00
30/11/90,357.67,322.22
31/12/90,367.63,330.22
31/01/91,383.64,343.93
28/02/91,411.08,367.07
31/03/91,421.03,375.22
30/04/91,422.03,375.35
31/05/91,440.24,389.83
30/06/91,420.07,371.16
31/07/91,439.65,387.81
31/08/91,450.06,395.43
30/09/91,442.53,387.86
31/10/91,448.48,392.46
30/11/91,430.41,375.22
31/12/91,479.63,417.09
31/01/92,470.70,408.79
29/02/92,476.79,412.70
31/03/92,467.52,403.69
30/04/92,481.25,414.95
31/05/92,483.60,415.35
30/06/92,476.41,408.14
31/07/92,495.87,424.21
31/08/92,485.72,414.03
30/09/92,491.43,417.80
31/10/92,493.13,418.68
30/11/92,509.92,431.35
31/12/92,516.18,435.71
31/01/93,520.49,438.78
28/02/93,527.59,443.38
31/03/93,538.72,451.67
30/04/93,525.70,440.19
31/05/93,539.76,450.19
30/06/93,541.34,450.53
31/07/93,539.16,448.13
31/08/93,559.62,463.56
30/09/93,555.33,458.93
31/10/93,566.82,467.83
30/11/93,561.41,461.79
31/12/93,568.20,466.45
31/01/94,587.52,481.61
28/02/94,571.57,467.14
31/03/94,546.65,445.77
30/04/94,553.66,450.91
31/05/94,562.75,456.50
30/06/94,548.96,444.27
31/07/94,566.98,458.26
31/08/94,590.23,475.49
30/09/94,575.80,462.69
31/10/94,588.73,472.35
30/11/94,567.29,453.69
31/12/94,575.71,459.27
31/01/95,590.64,470.42
28/02/95,613.65,487.39
31/03/95,631.76,500.71
30/04/95,650.36,514.71
31/05/95,676.36,533.40
30/06/95,692.07,544.75
31/07/95,715.02,562.06
31/08/95,716.82,561.88
30/09/95,747.07,584.41
31/10/95,744.40,581.50
30/11/95,777.07,605.37
31/12/95,792.04,615.93
31/01/96,819.00,636.02
29/02/96,826.59,640.43
31/03/96,834.55,645.50
30/04/96,846.85,654.17
31/05/96,868.69,669.12
30/06/96,872.01,670.63
31/07/96,833.48,639.95
31/08/96,851.06,651.99
30/09/96,898.97,687.31
31/10/96,923.76,705.27
30/11/96,993.58,757.02
31/12/96,973.90,740.74
31/01/97,"1,034.74",786.16
28/02/97,"1,042.85",790.82
31/03/97,"1,000.00",757.12
30/04/97,"1,059.70",801.34
31/05/97,"1,124.22",848.28
30/06/97,"1,174.59",885.14
31/07/97,"1,268.05",954.29
31/08/97,"1,197.01",899.47
30/09/97,"1,262.56",947.28
31/10/97,"1,220.40",914.62
30/11/97,"1,276.89",955.40
31/12/97,"1,298.82",970.43
31/01/98,"1,313.19",980.28
28/02/98,"1,407.90","1,049.34"
31/03/98,"1,480.00","1,101.75"
30/04/98,"1,494.89","1,111.75"
31/05/98,"1,469.19","1,090.82"
30/06/98,"1,528.87","1,133.84"
31/07/98,"1,512.59","1,120.67"
31/08/98,"1,293.90",957.28
30/09/98,"1,376.79","1,017.01"
31/10/98,"1,488.78","1,098.67"
30/11/98,"1,579.02","1,163.63"
31/12/98,"1,670.01","1,229.23"
31/01/99,"1,739.84","1,279.64"
28/02/99,"1,685.77","1,238.33"
31/03/99,"1,753.21","1,286.37"
30/04/99,"1,821.11","1,335.18"
31/05/99,"1,778.10","1,301.84"
30/06/99,"1,876.78","1,372.71"
31/07/99,"1,818.18","1,328.72"
31/08/99,"1,809.19","1,320.41"
30/09/99,"1,759.59","1,282.71"
31/10/99,"1,870.94","1,362.93"
30/11/99,"1,908.97","1,388.91"
31/12/99,"2,021.40","1,469.25"
31/01/00,"1,919.84","1,394.46"
29/02/00,"1,883.50","1,366.42"
31/03/00,"2,067.76","1,498.58"
30/04/00,"2,005.55","1,452.43"
31/05/00,"1,964.40","1,420.60"
30/06/00,"2,012.83","1,454.60"
31/07/00,"1,981.36","1,430.83"
31/08/00,"2,104.43","1,517.68"
30/09/00,"1,993.33","1,436.51"
31/10/00,"1,984.91","1,429.40"
30/11/00,"1,828.42","1,314.95"
31/12/00,"1,837.37","1,320.28"
31/01/01,"1,902.55","1,366.01"
28/02/01,"1,729.08","1,239.94"
31/03/01,"1,619.54","1,160.33"
30/04/01,"1,745.39","1,249.46"
31/05/01,"1,757.09","1,255.82"
30/06/01,"1,714.32","1,224.42"
31/07/01,"1,697.45","1,211.23"
31/08/01,"1,591.18","1,133.58"
30/09/01,"1,462.69","1,040.94"
31/10/01,"1,490.58","1,059.78"
30/11/01,"1,604.92","1,139.45"
31/12/01,"1,618.98","1,148.08"
31/01/02,"1,595.35","1,130.21"
28/02/02,"1,564.59","1,106.73"
31/03/02,"1,623.43","1,147.39"
30/04/02,"1,525.00","1,076.92"
31/05/02,"1,513.77","1,067.14"
30/06/02,"1,405.94",989.81
31/07/02,"1,296.34",911.62
31/08/02,"1,304.86",916.07
30/09/02,"1,163.04",815.28
31/10/02,"1,265.41",885.76
30/11/02,"1,339.89",936.31
31/12/02,"1,261.18",879.82
31/01/03,"1,228.14",855.70
28/02/03,"1,209.71",841.15
31/03/03,"1,221.46",848.18
30/04/03,"1,322.07",916.92
31/05/03,"1,391.72",963.59
30/06/03,"1,409.48",974.50
31/07/03,"1,434.33",990.31
31/08/03,"1,462.30","1,008.01"
30/09/03,"1,446.77",995.97
31/10/03,"1,528.62","1,050.71"
30/11/03,"1,542.07","1,058.20"
31/12/03,"1,622.94","1,111.92"
31/01/04,"1,652.73","1,131.13"
29/02/04,"1,675.70","1,144.94"
31/03/04,"1,650.42","1,126.21"
30/04/04,"1,624.51","1,107.31"
31/05/04,"1,646.80","1,120.68"
30/06/04,"1,678.83","1,140.84"
31/07/04,"1,623.26","1,101.72"
31/08/04,"1,629.83","1,104.24"
30/09/04,"1,647.48","1,114.58"
31/10/04,"1,672.65","1,130.20"
30/11/04,"1,740.33","1,173.82"
31/12/04,"1,799.55","1,211.92"
31/01/05,"1,755.68","1,181.27"
28/02/05,"1,792.63","1,203.60"
31/03/05,"1,760.89","1,180.59"
30/04/05,"1,727.49","1,156.85"
31/05/05,"1,782.46","1,191.50"
30/06/05,"1,784.99","1,191.33"
31/07/05,"1,851.37","1,234.18"
31/08/05,"1,834.48","1,220.33"
30/09/05,"1,849.33","1,228.81"
31/10/05,"1,818.50","1,207.01"
30/11/05,"1,887.28","1,249.48"
31/12/05,"1,887.94","1,248.29"
31/01/06,"1,937.93","1,280.09"
28/02/06,"1,943.19","1,280.66"
31/03/06,"1,967.38","1,294.83"
30/04/06,"1,993.79","1,310.61"
31/05/06,"1,936.41","1,270.09"
30/06/06,"1,939.03","1,270.20"
31/07/06,"1,951.00","1,276.66"
31/08/06,"1,997.42","1,303.82"
30/09/06,"2,048.89","1,335.85"
31/10/06,"2,115.65","1,377.94"
30/11/06,"2,155.89","1,400.63"
31/12/06,"2,186.13","1,418.30"
31/01/07,"2,219.19","1,438.24"
28/02/07,"2,175.78","1,406.82"
31/03/07,"2,200.12","1,420.86"
30/04/07,"2,297.58","1,482.37"
31/05/07,"2,377.75","1,530.62"
30/06/07,"2,338.25","1,503.35"
31/07/07,"2,265.75","1,455.28"
31/08/07,"2,299.71","1,473.99"
30/09/07,"2,385.72","1,526.75"
31/10/07,"2,423.67","1,549.38"
30/11/07,"2,322.34","1,481.14"
31/12/07,"2,306.23","1,468.36"
31/01/08,"2,167.90","1,378.55"
29/02/08,"2,097.48","1,330.63"
31/03/08,"2,088.42","1,322.70"
30/04/08,"2,190.13","1,385.59"
31/05/08,"2,218.50","1,400.38"
30/06/08,"2,031.47","1,280.00"
31/07/08,"2,014.39","1,267.38"
31/08/08,"2,043.53","1,282.83"
30/09/08,"1,861.44","1,166.36"
31/10/08,"1,548.81",968.75
30/11/08,"1,437.68",896.24
31/12/08,"1,452.98",903.25
31/01/09,"1,330.51",825.88
28/02/09,"1,188.84",735.09
31/03/09,"1,292.98",797.87
30/04/09,"1,416.73",872.81
31/05/09,"1,495.97",919.14
30/06/09,"1,498.94",919.32
31/07/09,"1,612.31",987.48
31/08/09,"1,670.52","1,020.63"
30/09/09,"1,732.86","1,057.08"
31/10/09,"1,700.67","1,036.20"
30/11/09,"1,802.68","1,095.63"
31/12/09,"1,837.50","1,115.10"
31/01/10,"1,771.40","1,073.87"
28/02/10,"1,826.27","1,104.49"
31/03/10,"1,936.48","1,169.43"
30/04/10,"1,967.05","1,186.69"
31/05/10,"1,809.98","1,089.41"
30/06/10,"1,715.23","1,030.71"
31/07/10,"1,835.40","1,101.60"
31/08/10,"1,752.55","1,049.33"
30/09/10,"1,908.95","1,141.20"
31/10/10,"1,981.59","1,183.26"
30/11/10,"1,981.84","1,180.55"
31/12/10,"2,114.29","1,257.64"
31/01/11,"2,164.40","1,286.12"
28/02/11,"2,238.55","1,327.22"
31/03/11,"2,239.44","1,325.83"
30/04/11,"2,305.76","1,363.61"
31/05/11,"2,279.66","1,345.20"
30/06/11,"2,241.66","1,320.64"
31/07/11,"2,196.08","1,292.28"
31/08/11,"2,076.78","1,218.89"
30/09/11,"1,930.79","1,131.42"
31/10/11,"2,141.81","1,253.30"
30/11/11,"2,137.08","1,246.96"
31/12/11,"2,158.94","1,257.61"
31/01/12,"2,255.69","1,312.41"
29/02/12,"2,353.23","1,365.68"
31/03/12,"2,430.68","1,408.47"
30/04/12,"2,415.42","1,397.91"
31/05/12,"2,270.25","1,310.33"
30/06/12,"2,363.79","1,362.16"
31/07/12,"2,396.62","1,379.32"
31/08/12,"2,450.60","1,406.58"
30/09/12,"2,513.93","1,440.67"
31/10/12,"2,467.51","1,412.16"
30/11/12,"2,481.82","1,416.18"
31/12/12,"2,504.44","1,426.19"
31/01/13,"2,634.16","1,498.11"
28/02/13,"2,669.92","1,514.68"
31/03/13,"2,770.05","1,569.19"
30/04/13,"2,823.42","1,597.57"
31/05/13,"2,889.46","1,630.74"
30/06/13,"2,850.66","1,606.28"
31/07/13,"2,995.72","1,685.73"
31/08/13,"2,908.96","1,632.97"
30/09/13,"3,000.18","1,681.55"
31/10/13,"3,138.09","1,756.54"
30/11/13,"3,233.72","1,805.81"
31/12/13,"3,315.59","1,848.36"
31/01/14,"3,200.95","1,782.59"
28/02/14,"3,347.38","1,859.45"
31/03/14,"3,375.51","1,872.34"
30/04/14,"3,400.47","1,883.95"
31/05/14,"3,480.29","1,923.57"
30/06/14,"3,552.18","1,960.23"
31/07/14,"3,503.19","1,930.67"
31/08/14,"3,643.34","2,003.37"
30/09/14,"3,592.25","1,972.29"
31/10/14,"3,679.99","2,018.05"
30/11/14,"3,778.96","2,067.56"
31/12/14,"3,769.44","2,058.90"
31/01/15,"3,656.28","1,994.99"
28/02/15,"3,866.42","2,104.50"
31/03/15,"3,805.27","2,067.89"
30/04/15,"3,841.78","2,085.51"
31/05/15,"3,891.18","2,107.39"
30/06/15,"3,815.85","2,063.11"
31/07/15,"3,895.80","2,103.84"
31/08/15,"3,660.75","1,972.18"
30/09/15,"3,570.17","1,920.03"
31/10/15,"3,871.33","2,079.36"
30/11/15,"3,882.84","2,080.41"
31/12/15,"3,821.60","2,043.94"
31/01/16,"3,631.96","1,940.24"
29/02/16,"3,627.06","1,932.23"
31/03/16,"3,873.11","2,059.74"
30/04/16,"3,888.13","2,065.30"
31/05/16,"3,957.95","2,096.96"
30/06/16,"3,968.21","2,098.86"
31/07/16,"4,114.51","2,173.60"
31/08/16,"4,120.29","2,170.95"
30/09/16,"4,121.06","2,168.27"
31/10/16,"4,045.89","2,126.15"
30/11/16,"4,195.73","2,198.81"
31/12/16,"4,278.66","2,238.83"
31/01/17,"4,359.82","2,278.87"
28/02/17,"4,532.93","2,363.64"
31/03/17,"4,538.21","2,362.72"
30/04/17,"4,584.82","2,384.20"
31/05/17,"4,649.34","2,411.80"
30/06/17,"4,678.36","2,423.41"
31/07/17,"4,774.56","2,470.30"
31/08/17,"4,789.18","2,471.65"
30/09/17,"4,887.97","2,519.36"
31/10/17,"5,002.03","2,575.26"
30/11/17,"5,155.44","2,647.58"
31/12/17,"5,212.76","2,673.61"
31/01/18,"5,511.21","2,823.81"
28/02/18,"5,308.09","2,713.83"
31/03/18,"5,173.19","2,640.87"
30/04/18,"5,193.04","2,648.05"
31/05/18,"5,318.10","2,705.27"
30/06/18,"5,350.83","2,718.37"
31/07/18,"5,549.96","2,816.29"
31/08/18,"5,730.80","2,901.52"
30/09/18,"5,763.42","2,913.98"
31/10/18,"5,369.49","2,711.74"
30/11/18,"5,478.91","2,760.17"
31/12/18,"4,984.22","2,506.85"
31/01/19,"5,383.63","2,704.10"
28/02/19,"5,556.49","2,784.49"
31/03/19,"5,664.46","2,834.40"
30/04/19,"5,893.82","2,945.83"
31/05/19,"5,519.27","2,752.06"
30/06/19,"5,908.25","2,941.76"
31/07/19,"5,993.17","2,980.38"
31/08/19,"5,898.23","2,926.46"
30/09/19,"6,008.59","2,976.74"
31/10/19,"6,138.74","3,037.56"
30/11/19,"6,361.56","3,140.98"
31/12/19,"6,553.57","3,230.78"
31/01/20,"6,551.00","3,225.52"
29/02/20,"6,011.73","2,954.22"
31/03/20,"5,269.20","2,584.59"
30/04/20,"5,944.68","2,912.43"
31/05/20,"6,227.81","3,044.31"
30/06/20,"6,351.67","3,100.29"
31/07/20,"6,709.81","3,271.12"
31/08/20,"7,192.11","3,500.31"
30/09/20,"6,918.84","3,363.00"
31/10/20,"6,734.84","3,269.96"
30/11/20,"7,472.06","3,621.63"
31/12/20,"7,759.35","3,756.07"
31/01/21,"7,681.01","3,714.24"
28/02/21,"7,892.81","3,811.15"
31/03/21,"8,238.48","3,972.89"
30/04/21,"8,678.16","4,181.17"
31/05/21,"8,738.77","4,204.11"
30/06/21,"8,942.78","4,297.50"
31/07/21,"9,155.21","4,395.26"
31/08/21,"9,433.58","4,522.68"
30/09/21,"8,994.83","4,307.54"
31/10/21,"9,625.02","4,605.38"
30/11/21,"9,558.33","4,567.00"
31/12/21,"9,986.70","4,766.18"
31/01/22,"9,469.92","4,515.55"
28/02/22,"9,186.37","4,373.94"
31/03/22,"9,527.46","4,530.41"
30/04/22,"8,696.65","4,131.93"
31/05/22,"8,712.60","4,132.15"
30/06/22,"7,993.43","3,785.38"
31/07/22,"8,730.46","4,130.29"
31/08/22,"8,374.42","3,955.00"
30/09/22,"7,603.14","3,585.62"
31/10/22,"8,218.71","3,871.98"
30/11/22,"8,678.00","4,080.11"
31/12/22,"8,178.02","3,839.50"
31/01/23,"8,691.88","4,076.60"
28/02/23,"8,479.81","3,970.15"
31/03/23,"8,791.13","4,109.31"
28/04/23,"8,928.35","4,169.48"
31/05/23,"8,967.16","4,179.83"
30/06/23,"9,559.67","4,450.38"
31/07/23,"9,866.77","4,588.96"
31/08/23,"9,709.68","4,507.66"
29/09/23,"9,246.74","4,288.05"
31/10/23,"9,052.31","4,193.80"
30/11/23,"9,879.02","4,567.80"
29/12/23,"10,327.83","4,769.83"
31/01/24,"10,501.38","4,845.65"
29/02/24,"11,062.11","5,096.27"
